Registro_ANS;CNPJ;Razao_Social;Nome_Fantasia;Modalidade;Logradouro;Numero;Complemento;Bairro;Cidade;UF;CEP;DDD;Telefone;Fax;Endereco_eletronico;Representante;Cargo_Representante;Regiao_de_Comercializacao;Data_Registro_ANS;0,1,2,3,4,5,6,7,8,9,10,11,12
419761.0;19541931000125.0;18 DE JULHO ADMINISTRADORA DE BENEFÍCIOS LTDA;;Administradora de Benefícios;RUA CAPITÃO MEDEIROS DE REZENDE;274;;PRAÇA DA BANDEIRA;Além Paraíba;MG;36660000.0;32.0;34624649.0;;contabilidade@cbnassessoria.com.br;LUIZ HENRIQUE MARENDINO GONÇALVES;SÓCIO ADMINISTRADOR;6.0;2015-05-19;
421545.0;22869997000153.0;2B ODONTOLOGIA OPERADORA DE PLANOS ODONTOLÓGICOS LTDA;;Odontologia de Grupo;RUA CATÃO;128;SALA 126;VILA ROMANA;São Paulo;SP;5049000.0;11.0;34415852.0;;labmarisol@gmail.com;MARISOL BECHELLI;SÓCIO ADMINISTRADORA;4.0;2019-06-13;
421421.0;27452545000195.0;2CARE OPERADORA DE SAÚDE LTDA.;;Medicina de Grupo;RUA: BERNARDINO DE CAMPOS;230;1º ANDAR;CENTRO;Campinas;SP;13010151.0;19.0;37901224.0;;ans.plano@hospitalcare.com.br;RODRIGO PINHO RIBEIRO;REPRESENTANTE;5.0;2018-10-09;
422908.0;41788751000100.0;3S ADMINISTRADORA DE BENEFICIOS LTDA;3S ADMINISTRADORA DE BENEFICIOS;Administradora de Benefícios;RUA ITÁLIA;33;SALA 6;JARDIM BONFIGLIOLI;Jundiaí;SP;13207280.0;11.0;42263247.0;;pietrorocchi37@gmail.com;ANAMELIA MONTEIRO GUERRA ROCCHI;SÓCIO ADMINISTRADOR;6.0;2021-07-12;
418030.0;13138885000131.0;A.P.S. ADMINISTRADORA DE BENEFÍCOS LTDA.;A.P.S. SAÚDE.;Administradora de Benefícios;RUA VOLUNTÁRIOS DA PÁTRIA;2525;CONJUNTO 143 - SALA 01;SANTANA;São Paulo;SP;2401000.0;11.0;45223468.0;;diretoria@apssaude.com.br;PERCÍVEL GAETA;SóCIO-ADMINISTRADOR E REPRESEN;4.0;2011-05-05;
314668.0;17505793000101.0;ABERTTA SAÚDE - ASSOCIAÇÃO BENEFICENTE DOS EMPREGADOS DA ARCELORMITTAL NO BRASIL;ABERTTA SAÚDE;Autogestão;AV. BERNARDO MONTEIRO;831;Subsolo, 2º andar e 3º andar;SANTA EFIGÊNIA;Belo Horizonte;MG;30150281.0;31.0;32484300.0;32484377.0;abertta.ans@arcelormittal.com.br;RICARDO DUPIN LUSTOSA;Diretor Presidente;4.0;1998-12-28;
419621.0;17687511000126.0;ABPLUS ADMINISTRADORA DE BENEFÍCIOS LTDA.;;Administradora de Benefícios;AVENIDA JOSÉ DA SILVA NETO;200;BLOCO 4, SALA 403;BARRA DA TIJUCA;Rio de Janeiro;RJ;22775056.0;;;;contato@abplus.com.br;ROBERTO CARLOS MACHADO RODRIGUES;ADMINISTRADOR;6.0;2014-11-13;
424242.0;56298884000167.0;ABRANGE ADMINISTRADORA DE BENEFICIOS LTDA.;ABRANGE SAÚDE;Administradora de Benefícios;RUA CEL. JOSÉ EUSEBIO;95.0;SALA 13;HIGIENOPOLIS;São Paulo;SP;1239030.0;11.0;920554400.0;;dayanasantos@abrangesaude.com.br;DAYANA DOS SANTOSDE BRITO FLORÊNCIO;ADMINISTRADORA;;2025-01-06;
418901.0;10458298000131.0;AD SALUTE ADMINISTRADORA DE BENEFÍCIOS LTDA;AD SALUTE;Administradora de Benefícios;RUA BUENOS AIRES;68;SALA 2901;CENTRO;Rio de Janeiro;RJ;20070020.0;21.0;35531692.0;;LEONARDO@UNIMEDICASAUDE.COM;JOÃO CARMO DA SILVEIRA;ADMINISTRADOR;5.0;2013-06-13;
421553.0;28315826000169.0;ADM LIFE - ADMINISTRADORA DE BENEFÍCIOS LTDA.;ADM LIFE;Administradora de Benefícios;AVENIDA PEDROSO DE MORAIS;272;CJ 96;PINHEIROS;São Paulo;SP;5420000.0;11.0;99475503.0;;cristiane@admlife.com.br;NELITO JÚNIOR DE ALMEIDA SILVA;Sócio Administrador;4.0;2019-01-09;
416932.0;7867825000157.0;ADMSERV BENEFÍCIOS E SERVIÇOS LTDA;GÉIA ADMINISTRADORA DE BENEFICIOS;Administradora de Benefícios;Avenida Valdemar Ferreira;463;;Butantã;São Paulo;SP;5501000.0;11.0;36602000.0;36602000.0;sandra@geia.com.br;PEDRO OLIVEIRA OBLIZINER;SÓCIO ADMINISTRADOR;2.0;2009-03-30;
422347.0;37201454000130.0;ADRESS ADMINISTRADORA DE BENEFICIOS LTDA;ADRESS;Administradora de Benefícios;AVENIDA RIO BRANCO;125;15º ANDAR  SALA 1501;CENTRO;Rio de Janeiro;RJ;20040006.0;21.0;22524066.0;;contato@adress.com.br;LAIR ISABEL BOHRER DIEDAM;SÓCIA ADMINISTRADORA;6.0;2020-09-03;
335657.0;2041808000142.0;ADVANCE PLANOS DE SAÚDE LTDA;;Medicina de Grupo;RUA DOS BURITIS;128;SALA 202 - CENTRO EMPRESARIAL ZONA SUL;JABAQUARA;São Paulo;SP;4321000.0;;;;planosdesaude@advanceplanos.com.br;JOSÉ JAIR JAMES DE ARRUDA PINTO;ADMINISTRADOR;4.0;1998-12-28;
413283.0;3694367000140.0;AESP ODONTO ASSISTÊNCIA ODONTOLÓGICA S/S LTDA EPP;;Odontologia de Grupo;ALAMEDA GRAJAÚ;60;SALA 2814;ALPHAVILLE INDUSTRIAL;Barueri;SP;6454050.0;1.0;168135656.0;168135656.0;aespodonto@aespodonto.com.br;CARLOS EUGENIO PORTO BRAGA;ADMINISTRADOR;4.0;2001-03-07;
419907.0;22891640000171.0;AFFIANCE LIFE ADMINISTRADORA DE BENEFÍCIOS EM SAÚDE LTDA;AFFIANCE LIFE BENEFÍCIOS;Administradora de Benefícios;AVENIDA FONSO PENA ;867;23º ANDAR - SALAS 2301 A  2305;CENTRO;Belo Horizonte;MG;30130905.0;31.0;98148128.0;;atendimento@affiancelife.com.br;FABIANA DA SILVA CARDOSO;ADMINISTRADORA NÃO SÓCIA;4.0;2015-09-23;
417424.0;11158465000191.0;AFFIX ADMINISTRADORA DE BENEFÍCIOS LTDA;AFFIX BENEFÍCIOS;Administradora de Benefícios;Alameda Santos;2441;Conjuntos 41 e 42, 4º andar, Sala admini;Cerqueira César;São Paulo;SP;1419101.0;11.0;39952217.0;;pedro.rezende@affixbeneficios.com.br;PEDRO AUGUSTO BARQUETE DE REZENDE;SóCIO ADMINISTRADOR;1.0;2010-07-16;
368920.0;20320487000105.0;AGROS - INSTITUTO UFV DE SEGURIDADE SOCIAL;;Autogestão;AVENIDA PURDUE;S/N;;CAMPUS DA UFV;Viçosa;MG;36570900.0;31.0;38996550.0;38996550.0;institucional@agros.org.br;CLAUDIO FURTADO SOARES;DIRETOR PRESIDENTE;4.0;1998-12-18;
424285.0;57522360000170.0;AIRES OPERADORA DE SAUDE LTDA;AIRES OPERADORA DE SAUDE ;Medicina de Grupo;AVENIDA PRESIDENTE KENNEDY;1001.0;BLOCO D;PEIXINHOS;Olinda;PE;53230971.0;81.0;992463135.0;;jjppcc@gmail.com;JOSE PEREIRA DA COSTA;ADMINISTRADOR;;2024-12-16;
417742.0;10387254000168.0;ALACORÔ CASF ASSOCIAÇÃO CLUBE DE BENEFICIOS PESSOAIS E EMPRESARIAIS;;Administradora de Benefícios;AVENIDA RIO BRANCO;131;10ª ANDAR - PARTE;CENTRO;Rio de Janeiro;RJ;21040006.0;21.0;25054500.0;;RODRIGO.PEIXOTO@ALACORO.COM.BR;ANADIA BIENHACHEWSKI FERREIRA ALVES;DIRETORA PRESIDENTE;6.0;2010-12-20;
416975.0;6258813000162.0;ALCANCE SAÚDE LTDA;ALCANCE SAÚDE;Medicina de Grupo;RUA CUSSY DE ALMEIDA JUNIOR;1931;;SAO JOAO;Araçatuba;SP;16025050.0;;;;reginaldo.alcancesaude@gmail.com;VALDECIR DONIZETE LOCATELLI;REPRESENTANTE;6.0;2009-07-03;
421928.0;34266553000102.0;ALICE OPERADORA LTDA.;ALICE;Medicina de Grupo;Avenida Rebouças ;3535;;Pinheiros;São Paulo;SP;5401400.0;11.0;41186896.0;;regulatorio@alice.com.br;MATHEUS HERMSDORFF MORAES;Diretor;4.0;2019-11-01;
